Number_of_Subscribers,Channel2,Watch_date,Day_name,Month_name,Gender,Race,Province,Time_Bucket,Age_buckets,total_duration_hhmm
2,ICC Cricket World Cup 2011,2016-03-06,Sun,March,male,black,Western Cape,Night,Adult 31-64,00:00
1,Boomerang,2016-01-11,Mon,January,male,None,Mpumalanga,Night,Adult 31-64,00:01
1,SuperSport Blitz,2016-02-27,Sat,February,male,black,Gauteng,Night,Young Adult 19-30,00:01
1,Trace TV,2016-02-06,Sat,February,male,black,Western Cape,Night,Young Adult 19-30,00:02
1,Trace TV,2016-01-17,Sun,January,male,black,Free State,Night,Young Adult 19-30,00:00
1,SuperSport Blitz,2016-03-21,Mon,March,male,white,Western Cape,Night,Adult 31-64,00:07
1,DStv Events 1,2016-01-16,Sat,January,male,black,Kwazulu Natal,Night,Adult 31-64,00:01
1,Supersport Live Events,2016-02-26,Fri,February,male,indian_asian,Western Cape,Night,Adult 31-64,00:03
1,Boomerang,2016-03-27,Sun,March,female,coloured,Kwazulu Natal,Night,Young Adult 19-30,00:07
2,Channel O,2016-03-25,Fri,March,male,black,Gauteng,Night,Adult 31-64,00:38
1,Cartoon Network,2016-03-01,Tue,March,female,black,Gauteng,Night,Adult 31-64,00:00
1,Channel O,2016-03-30,Wed,March,male,indian_asian,Western Cape,Night,Adult 31-64,00:01
1,E! Entertainment,2016-03-09,Wed,March,male,black,Gauteng,Night,Young Adult 19-30,00:01
1,Trace TV,2016-03-07,Mon,March,female,coloured,Eastern Cape,Night,Adult 31-64,00:06
1,Africa Magic,2016-03-27,Sun,March,male,black,Gauteng,Night,Young Adult 19-30,00:01
1,SawSee,2016-01-20,Wed,January,male,other,Western Cape,Night,Young Adult 19-30,00:04
1,SuperSport Blitz,2016-03-25,Fri,March,None,None,None,Night,Adult 31-64,00:00
1,Cartoon Network,2016-02-07,Sun,February,male,white,Gauteng,Night,Adult 31-64,00:01
2,Channel O,2016-03-30,Wed,March,male,coloured,Western Cape,Night,Young Adult 19-30,00:04
1,Channel O,2016-03-22,Tue,March,male,black,Eastern Cape,Night,Adult 31-64,00:22
1,Supersport Live Events,2016-02-02,Tue,February,male,black,Eastern Cape,Night,Young Adult 19-30,00:09
1,SuperSport Blitz,2016-01-17,Sun,January,male,black,Eastern Cape,Night,Adult 31-64,00:07
1,Africa Magic,2016-01-25,Mon,January,male,black,Kwazulu Natal,Night,Young Adult 19-30,00:13
1,Africa Magic,2016-03-10,Thu,March,male,black,Limpopo,Night,Young Adult 19-30,00:00
1,Boomerang,2016-02-23,Tue,February,male,indian_asian,Gauteng,Night,Adult 31-64,00:00
1,Supersport Live Events,2016-02-18,Thu,February,male,black,Mpumalanga,Night,Adult 31-64,00:46
3,SuperSport Blitz,2016-03-11,Fri,March,male,coloured,Western Cape,Night,Adult 31-64,00:09
1,M-Net,2016-01-05,Tue,January,female,black,Eastern Cape,Night,Adult 31-64,00:00
2,SuperSport Blitz,2016-02-17,Wed,February,male,indian_asian,Limpopo,Night,Adult 31-64,00:07
1,Trace TV,2016-01-29,Fri,January,male,coloured,Kwazulu Natal,Night,Young Adult 19-30,00:04
